City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,20.52,68,0,1.54,ZA,2023-07-14
1,taoudenni,22.6783,-3.9836,46.04,3,5,9.74,ML,2023-07-14
2,hawaiian paradise park,19.5933,-154.9731,22.24,90,100,3.09,US,2023-07-14
3,papatowai,-46.5619,169.4708,10.08,84,88,5.49,NZ,2023-07-14
4,nova sintra,14.8667,-24.7167,23.63,81,45,2.89,CV,2023-07-14
5,lerwick,60.1545,-1.1494,16.0,78,43,4.22,GB,2023-07-14
6,haiku-pauwela,20.9219,-156.3051,23.36,79,20,4.63,US,2023-07-14
7,queenstown,-31.8976,26.8753,14.66,32,69,3.02,ZA,2023-07-14
8,port-aux-francais,-49.35,70.2167,2.78,59,93,13.66,TF,2023-07-14
9,tolanaro,-25.0319,46.9987,20.04,68,75,3.09,MG,2023-07-14
10,wakkanai,45.4094,141.6739,14.49,96,100,4.02,JP,2023-07-14
11,saint-pierre,-21.3393,55.4781,22.54,88,100,11.83,RE,2023-07-14
12,nuku'alofa,-21.1333,-175.2,21.19,73,75,3.6,TO,2023-07-14
13,edinburgh of the seven seas,-37.0676,-12.3116,13.08,85,100,9.46,SH,2023-07-14
14,nadym,65.5333,72.5167,15.83,52,11,4.22,RU,2023-07-14
15,adamstown,-25.066,-130.1015,20.95,73,1,3.02,PN,2023-07-14
16,waitangi,-43.9535,-176.5597,8.23,91,100,1.79,NZ,2023-07-14
17,nyala,12.05,24.8833,37.52,21,23,1.83,SD,2023-07-14
18,walvis bay,-22.9575,14.5053,19.53,45,0,4.12,NA,2023-07-14
19,college,64.8569,-147.8028,15.32,82,75,2.06,US,2023-07-14
20,dawson creek,55.7666,-120.2362,14.8,82,0,1.54,CA,2023-07-14
21,arraial do cabo,-22.9661,-42.0278,20.92,68,75,7.72,BR,2023-07-14
22,rikaze,29.25,88.8833,15.85,57,100,1.2,CN,2023-07-14
23,rudsar,37.1376,50.288,25.99,74,29,2.31,IR,2023-07-14
24,loiza,18.4313,-65.8802,32.99,64,40,8.23,PR,2023-07-14
25,invercargill,-46.4,168.35,8.31,89,84,4.05,NZ,2023-07-14
26,tazovsky,67.4667,78.7,10.0,60,100,3.43,RU,2023-07-14
27,tiksi,71.6872,128.8694,9.95,92,100,2.27,RU,2023-07-14
28,canto do buriti,-8.11,-42.9444,36.96,21,2,1.46,BR,2023-07-14
29,luderitz,-26.6481,15.1594,17.9,47,0,6.83,NA,2023-07-14
30,pirallahi,40.4723,50.333,29.08,58,0,3.54,AZ,2023-07-14
31,keflavik,64.0049,-22.5624,10.24,76,75,10.8,IS,2023-07-14
32,blackmans bay,-43.0167,147.3167,11.07,67,100,3.88,AU,2023-07-14
33,margaret river,-33.95,115.0667,8.6,69,1,1.92,AU,2023-07-14
34,pisco,-13.7,-76.2167,20.03,83,100,4.63,PE,2023-07-14
35,lebu,-37.6167,-73.65,10.86,79,83,0.72,CL,2023-07-14
36,ilulissat,69.2167,-51.1,8.01,81,75,1.03,GL,2023-07-14
37,puerto penasco,31.3167,-113.5333,31.06,73,95,4.02,MX,2023-07-14
